Item ID	QA_Manufacturer Name	Value
05386503	BRADY USA, INC.	#NA
05476239	DYMO CORPORATION	DYMO
05476262	DYMO CORPORATION	DYMO
05476312	DYMO CORPORATION	DYMO
05477005	DYMO CORPORATION	DYMO
05551858	THOMAS & BETTS CORPORATION	#NA
05551866	THOMAS & BETTS CORPORATION	#NA
05551874	THOMAS & BETTS CORPORATION	#NA
05551882	THOMAS & BETTS CORPORATION	#NA
05551890	THOMAS & BETTS CORPORATION	#NA
05551908	THOMAS & BETTS CORPORATION	#NA
05551916	THOMAS & BETTS CORPORATION	#NA
05551924	THOMAS & BETTS CORPORATION	#NA
05551932	THOMAS & BETTS CORPORATION	#NA
05551940	THOMAS & BETTS CORPORATION	#NA
05551957	THOMAS & BETTS CORPORATION	#NA
05551965	THOMAS & BETTS CORPORATION	#NA
05551973	THOMAS & BETTS CORPORATION	#NA
05551981	THOMAS & BETTS CORPORATION	#NA
05551999	THOMAS & BETTS CORPORATION	#NA
05552005	THOMAS & BETTS CORPORATION	#NA
05552013	THOMAS & BETTS CORPORATION	#NA
05593165	THOMAS & BETTS CORPORATION	#NA
05593173	THOMAS & BETTS CORPORATION	#NA
05593181	THOMAS & BETTS CORPORATION	#NA
05593199	THOMAS & BETTS CORPORATION	#NA
05593207	THOMAS & BETTS CORPORATION	#NA
05593215	THOMAS & BETTS CORPORATION	#NA
05593223	THOMAS & BETTS CORPORATION	#NA
05593231	THOMAS & BETTS CORPORATION	#NA
05593249	THOMAS & BETTS CORPORATION	#NA
05593256	THOMAS & BETTS CORPORATION	#NA
05593264	THOMAS & BETTS CORPORATION	#NA
05593272	THOMAS & BETTS CORPORATION	#NA
05593280	THOMAS & BETTS CORPORATION	#NA
05593298	THOMAS & BETTS CORPORATION	#NA
05593645	THOMAS & BETTS CORPORATION	#NA
05593652	THOMAS & BETTS CORPORATION	#NA
05788583	FRED V. FOWLER COMPANY INC.	#NA
05792452	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
05868260	JT& M INC.	#NA
05868286	JT& M INC.	#NA
05868427	JT& M INC.	#NA
05868435	JT& M INC.	#NA
06026835	CHANNELLOCK, INC.	#NA
06181069	DYMO CORPORATION	DYMO
06256895	MITUTOYO AMERICA CORP.	#NA
06256911	MITUTOYO AMERICA CORP.	#NA
06317119	L.S. STARRETT CO.	L.S. STARRETT
06421945	FLEXBAR MACHINE CORP.	FLEXBAR MACHINE CORP
06421952	FLEXBAR MACHINE CORP.	FLEXBAR MACHINE CORP
06432769	JT& M INC.	#NA
06434013	NOGA (MSRIN)2	#NA
06506240	DYMO CORPORATION	DYMO
06506273	DYMO CORPORATION	DYMO
06506299	DYMO CORPORATION	DYMO
06516181	DYMO CORPORATION	DYMO
06516199	DYMO CORPORATION	DYMO
06516207	DYMO CORPORATION	DYMO
06516215	DYMO CORPORATION	DYMO
06516223	DYMO CORPORATION	DYMO
06516231	DYMO CORPORATION	DYMO
06516249	DYMO CORPORATION	DYMO
06516256	DYMO CORPORATION	DYMO
06516264	DYMO CORPORATION	DYMO
06539704	UNITED STATIONERS SUPPLY CO	#NA
06580013	MHC TRADING CO (MEASURING)	#NA
06580039	MHC TRADING CO (MEASURING)	#NA
06580054	MHC TRADING CO (MEASURING)	#NA
06580104	NOGA (MSRIN)2	#NA
06581201	MHC TRADING CO (MEASURING)	#NA
06581300	MHC TRADING CO (MEASURING)	#NA
06581359	MHC TRADING CO (MEASURING)	#NA
06581656	SPI (EDGE FINDRS/SQURS/BLCKS)	#NA
06581664	SPI (PRIME INTL)	#NA
06581706	FLEXBAR MACHINE CORP.	FLEXBAR MACHINE CORP
06581722	FLEXBAR MACHINE CORP.	FLEXBAR MACHINE CORP
06582704	FLEXBAR MACHINE CORP.	FLEXBAR MACHINE CORP
06583801	MHC TRADING CO (MEASURING)	#NA
06583850	JT& M INC.	#NA
06606768	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606776	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606784	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606792	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606800	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606818	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606826	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606834	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606842	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606859	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606867	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606875	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606883	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606891	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606909	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606917	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606925	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606933	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606941	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606958	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606966	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606974	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606982	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06606990	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
06636062	SUN TECH LIMITED HAND TOOLS	SUN TECH LIMITED HAND TOOLS
06636096	SUN TECH LIMITED HAND TOOLS	SUN TECH LIMITED HAND TOOLS
06636161	SUN TECH LIMITED HAND TOOLS	SUN TECH LIMITED HAND TOOLS
06648448	BRADY USA, INC.	#NA
07049026	DYMO CORPORATION	DYMO
07074271	CHANNELLOCK, INC.	#NA
07113863	NOGA (MSRIN)2	#NA
07131741	DYMO CORPORATION	DYMO
07282106	FLEXBAR MACHINE CORP.	FLEXBAR MACHINE CORP
07336605	BRADY USA, INC.	#NA
07591365	DYMO CORPORATION	DYMO
07712508	CHANNELLOCK, INC.	#NA
07718901	BRADY USA, INC.	#NA
07852981	APEX TOOL GROUP	#NA
07917693	DYMO CORPORATION	DYMO
08074361	NOGA (MSRIN)2	#NA
08074379	NOGA (MSRIN)2	#NA
08074387	NOGA (MSRIN)2	#NA
08074395	NOGA (MSRIN)2	#NA
08182131	Scientific Cutting Tools	SCIENTIFIC CUTTING TOOLS INC
